dataset,record_id,stage,family,answer,reference,correct,known_conflict_fields,known_conflicts,unknown_fields,unsupported_fields
rectom,belief_0,initial,belief,G,G,True,,0,seen,1
rectom,belief_0,reviewed,belief,G,G,True,,0,seen,1
rectom,belief_1,initial,belief,G,G,True,,0,seen,1
rectom,belief_1,reviewed,belief,G,G,True,,0,,0
rectom,belief_2,initial,belief,B,B,True,,0,seen,1
rectom,belief_2,reviewed,belief,B,B,True,,0,seen,1
rectom,belief_3,initial,belief,D,C,False,,0,recommendation_response,1
rectom,belief_3,reviewed,belief,D,C,False,,0,recommendation_response,1
rectom,belief_4,initial,belief,A,A,True,,0,seen,1
rectom,belief_4,reviewed,belief,A,A,True,,0,seen,1
rectom,belief_5,initial,belief,G,G,True,,0,,0
rectom,belief_5,reviewed,belief,G,G,True,,0,seen,1
rectom,belief_6,initial,belief,D,D,True,,0,seen|recommendation_response,2
rectom,belief_6,reviewed,belief,D,D,True,,0,seen|recommendation_response,2
rectom,belief_7,initial,belief,D,D,True,,0,recommendation_response,1
rectom,belief_7,reviewed,belief,D,D,True,,0,recommendation_response,1
rectom,belief_8,initial,belief,F,F,True,,0,seen,1
rectom,belief_8,reviewed,belief,F,F,True,,0,seen,1
rectom,belief_9,initial,belief,G,G,True,,0,,0
rectom,belief_9,reviewed,belief,G,G,True,,0,seen,1
rectom,belief_124,initial,belief,B,A,False,,0,seen|recommendation_response,2
rectom,belief_124,reviewed,belief,B,A,False,,0,seen|recommendation_response,2
rectom,belief_125,initial,belief,A,B,False,,0,seen,1
rectom,belief_125,reviewed,belief,A,B,False,,0,seen,1
rectom,belief_126,initial,belief,D,D,True,,0,recommendation_response,1
rectom,belief_126,reviewed,belief,D,D,True,,0,recommendation_response,1
rectom,belief_127,initial,belief,G,G,True,,0,seen,1
rectom,belief_127,reviewed,belief,G,G,True,,0,seen,1
rectom,belief_128,initial,belief,B,B,True,,0,recommendation_response,1
rectom,belief_128,reviewed,belief,B,B,True,,0,recommendation_response,1
rectom,belief_129,initial,belief,B,B,True,,0,recommendation_response,1
rectom,belief_129,reviewed,belief,B,B,True,,0,recommendation_response,1
rectom,belief_130,initial,belief,B,B,True,,0,recommendation_response,1
rectom,belief_130,reviewed,belief,B,B,True,,0,recommendation_response,1
rectom,belief_131,initial,belief,B,B,True,,0,,0
rectom,belief_131,reviewed,belief,B,B,True,,0,recommendation_response,1
rectom,belief_143,initial,belief,C,C,True,,0,,0
rectom,belief_143,reviewed,belief,C,C,True,,0,,0
rectom,belief_144,initial,belief,G,G,True,,0,,0
rectom,belief_144,reviewed,belief,G,G,True,,0,,0
rectom,belief_145,initial,belief,G,G,True,,0,seen,1
rectom,belief_145,reviewed,belief,G,G,True,,0,seen,1
rectom,belief_146,initial,belief,D,D,True,,0,recommendation_response,1
rectom,belief_146,reviewed,belief,D,D,True,,0,recommendation_response,1
rectom,belief_147,initial,belief,G,G,True,,0,seen,1
rectom,belief_147,reviewed,belief,G,G,True,,0,seen,1
rectom,belief_148,initial,belief,D,D,True,,0,recommendation_response,1
rectom,belief_148,reviewed,belief,D,D,True,,0,recommendation_response,1
rectom,belief_149,initial,belief,D,D,True,,0,seen|recommendation_response,2
rectom,belief_149,reviewed,belief,D,D,True,,0,seen|recommendation_response,2
rectom,belief_150,initial,belief,C,C,True,,0,seen,1
rectom,belief_150,reviewed,belief,C,C,True,,0,seen,1
rectom,belief_151,initial,belief,G,G,True,,0,seen,1
rectom,belief_151,reviewed,belief,G,G,True,,0,seen,1
rectom,belief_152,initial,belief,G,G,True,,0,seen,1
rectom,belief_152,reviewed,belief,G,G,True,,0,seen,1
rectom,belief_153,initial,belief,B,B,True,,0,seen,1
rectom,belief_153,reviewed,belief,B,B,True,,0,,0
rectom,belief_154,initial,belief,G,G,True,,0,seen|appraisal,2
rectom,belief_154,reviewed,belief,G,G,True,,0,seen|appraisal,2
rectom,belief_155,initial,belief,D,D,True,,0,recommendation_response,1
rectom,belief_155,reviewed,belief,D,D,True,,0,recommendation_response,1
rectom,belief_156,initial,belief,G,G,True,,0,seen,1
rectom,belief_156,reviewed,belief,G,G,True,,0,seen,1
rectom,belief_231,initial,belief,D,D,True,,0,,0
rectom,belief_231,reviewed,belief,D,D,True,,0,seen,1
rectom,belief_232,initial,belief,D,D,True,,0,recommendation_response,1
rectom,belief_232,reviewed,belief,D,D,True,,0,recommendation_response,1
rectom,belief_233,initial,belief,G,G,True,,0,,0
rectom,belief_233,reviewed,belief,G,G,True,,0,,0
rectom,belief_234,initial,belief,D,D,True,,0,recommendation_response,1
rectom,belief_234,reviewed,belief,D,D,True,,0,recommendation_response,1
rectom,belief_235,initial,belief,D,D,True,,0,recommendation_response,1
rectom,belief_235,reviewed,belief,D,D,True,,0,recommendation_response,1
rectom,belief_236,initial,belief,G,G,True,,0,seen,1
rectom,belief_236,reviewed,belief,G,G,True,,0,seen,1
rectom,belief_237,initial,belief,G,G,True,,0,seen,1
rectom,belief_237,reviewed,belief,G,G,True,,0,seen,1
rectom,belief_238,initial,belief,C,C,True,,0,,0
rectom,belief_238,reviewed,belief,C,C,True,,0,,0
rectom,belief_259,initial,belief,B,B,True,,0,,0
rectom,belief_259,reviewed,belief,B,B,True,,0,,0
rectom,belief_260,initial,belief,B,B,True,,0,,0
rectom,belief_260,reviewed,belief,B,B,True,,0,,0
rectom,belief_261,initial,belief,D,D,True,,0,recommendation_response,1
rectom,belief_261,reviewed,belief,D,D,True,,0,recommendation_response,1
rectom,belief_262,initial,belief,E,E,True,,0,appraisal,1
rectom,belief_262,reviewed,belief,E,E,True,,0,appraisal,1
rectom,belief_263,initial,belief,C,C,True,,0,,0
rectom,belief_263,reviewed,belief,C,C,True,,0,,0
rectom,belief_264,initial,belief,G,G,True,,0,seen,1
rectom,belief_264,reviewed,belief,G,G,True,,0,seen,1
rectom,belief_265,initial,belief,D,D,True,,0,seen|recommendation_response,2
rectom,belief_265,reviewed,belief,D,D,True,,0,seen|recommendation_response,2
rectom,belief_266,initial,belief,D,D,True,,0,recommendation_response,1
rectom,belief_266,reviewed,belief,D,D,True,,0,recommendation_response,1
rectom,belief_267,initial,belief,G,G,True,,0,seen,1
rectom,belief_267,reviewed,belief,G,G,True,,0,seen,1
rectom,belief_268,initial,belief,G,G,True,,0,seen,1
rectom,belief_268,reviewed,belief,G,G,True,,0,seen,1
rectom,belief_269,initial,belief,B,B,True,,0,,0
rectom,belief_269,reviewed,belief,B,B,True,,0,,0
rectom,belief_270,initial,belief,D,D,True,,0,recommendation_response,1
rectom,belief_270,reviewed,belief,D,D,True,,0,recommendation_response,1
rectom,belief_271,initial,belief,G,G,True,,0,,0
rectom,belief_271,reviewed,belief,G,G,True,,0,seen,1
