record_id,cluster,family,transition,raw_answer_changed,parsed_answer_changed,initial_valid,review_valid,decision,claim_changed,citation_changed,initial_answer_finalizer_disagreement
74356138::location_cg_fo::0,74356138,location_cg_fo,right_to_right,False,False,True,True,preserve,False,False,False
74356138::location_cg_fo::1,74356138,location_cg_fo,right_to_right,False,False,True,True,preserve,False,False,False
74356138::location_cg_so::0,74356138,location_cg_so,right_to_right,False,False,True,True,revise,True,False,False
74356138::location_cg_so::1,74356138,location_cg_so,right_to_right,False,False,True,True,preserve,False,False,False
74356138::location_fg_fo::0,74356138,location_fg_fo,right_to_right,False,False,True,True,preserve,False,False,True
74356138::location_fg_fo::1,74356138,location_fg_fo,right_to_right,False,False,True,True,preserve,False,False,False
74356138::location_fg_fo::2,74356138,location_fg_fo,right_to_right,False,False,True,True,revise,True,False,False
74356138::location_fg_fo::3,74356138,location_fg_fo,right_to_right,False,False,True,True,preserve,False,False,False
74356138::location_fg_so::0,74356138,location_fg_so,wrong_to_wrong,False,False,True,True,preserve,False,False,False
74356138::location_fg_so::1,74356138,location_fg_so,right_to_right,False,False,True,True,preserve,False,False,False
74356138::multihop_fo::0,74356138,multihop_fo_fullness,right_to_right,False,False,True,True,revise,True,False,False
74356138::multihop_fo::1,74356138,multihop_fo_fullness,right_to_right,False,False,True,True,revise,True,False,False
74356138::multihop_fo::2,74356138,multihop_fo_fullness,wrong_to_wrong,False,False,True,True,revise,True,False,True
74356138::multihop_fo::3,74356138,multihop_fo_fullness,wrong_to_wrong,False,False,True,True,revise,False,False,False
74356138::multihop_fo::4,74356138,multihop_fo_accessibility,right_to_right,False,False,True,True,revise,True,False,False
74356138::multihop_fo::5,74356138,multihop_fo_accessibility,right_to_right,False,False,True,True,preserve,False,False,False
74356138::multihop_so::0,74356138,multihop_so_fullness,right_to_right,False,False,True,True,preserve,False,False,False
74356138::multihop_so::1,74356138,multihop_so_fullness,right_to_right,False,False,True,True,preserve,False,False,False
74356138::multihop_so::2,74356138,multihop_so_fullness,right_to_wrong,True,True,True,True,revise,True,False,False
74356138::multihop_so::3,74356138,multihop_so_fullness,right_to_right,False,False,True,True,revise,True,True,False
74356138::multihop_so::4,74356138,multihop_so_accessibility,right_to_right,False,False,True,True,preserve,False,False,False
74356138::multihop_so::5,74356138,multihop_so_accessibility,right_to_right,False,False,True,True,revise,True,False,False
74356138::attitude::0,74356138,attitude,right_to_right,False,False,True,True,preserve,False,False,False
99473854::location_cg_fo::0,99473854,location_cg_fo,right_to_right,False,False,True,True,revise,False,False,False
99473854::location_cg_fo::1,99473854,location_cg_fo,wrong_to_wrong,False,False,True,True,revise,True,False,True
99473854::location_cg_so::0,99473854,location_cg_so,right_to_right,False,False,True,True,revise,True,False,False
99473854::location_cg_so::1,99473854,location_cg_so,wrong_to_wrong,False,False,True,True,revise,True,True,True
99473854::location_fg_fo::0,99473854,location_fg_fo,right_to_right,False,False,True,True,preserve,False,False,False
99473854::location_fg_fo::1,99473854,location_fg_fo,wrong_to_wrong,False,False,True,True,preserve,False,False,True
99473854::location_fg_fo::2,99473854,location_fg_fo,right_to_right,False,False,True,True,preserve,False,False,True
99473854::location_fg_fo::3,99473854,location_fg_fo,wrong_to_wrong,False,False,True,True,preserve,False,False,False
99473854::location_fg_so::0,99473854,location_fg_so,wrong_to_wrong,True,True,True,True,revise,True,True,False
99473854::location_fg_so::1,99473854,location_fg_so,wrong_to_wrong,False,False,True,True,preserve,False,False,False
99473854::multihop_fo::0,99473854,multihop_fo_fullness,right_to_right,False,False,True,True,revise,True,True,False
99473854::multihop_fo::1,99473854,multihop_fo_fullness,right_to_right,False,False,True,True,revise,False,False,True
99473854::multihop_fo::2,99473854,multihop_fo_fullness,right_to_right,False,False,True,True,revise,True,True,False
99473854::multihop_fo::3,99473854,multihop_fo_fullness,wrong_to_wrong,False,False,True,True,revise,False,False,True
99473854::multihop_fo::4,99473854,multihop_fo_accessibility,right_to_right,False,False,True,True,preserve,False,False,False
99473854::multihop_fo::5,99473854,multihop_fo_accessibility,wrong_to_wrong,False,False,True,True,revise,True,False,False
99473854::multihop_so::0,99473854,multihop_so_fullness,wrong_to_wrong,False,False,True,True,revise,False,False,True
99473854::multihop_so::1,99473854,multihop_so_fullness,wrong_to_wrong,False,False,True,True,revise,True,False,False
99473854::multihop_so::2,99473854,multihop_so_fullness,wrong_to_wrong,False,False,True,True,revise,True,False,False
99473854::multihop_so::3,99473854,multihop_so_fullness,wrong_to_wrong,False,False,True,True,revise,True,False,False
99473854::multihop_so::4,99473854,multihop_so_accessibility,right_to_right,False,False,True,True,preserve,False,False,False
99473854::multihop_so::5,99473854,multihop_so_accessibility,wrong_to_wrong,False,False,True,True,preserve,False,False,False
99473854::attitude::0,99473854,attitude,wrong_to_wrong,False,False,True,True,revise,False,False,True
13695961::location_cg_fo::0,13695961,location_cg_fo,right_to_right,False,False,True,True,revise,True,False,False
13695961::location_cg_fo::1,13695961,location_cg_fo,wrong_to_wrong,False,False,True,True,revise,True,True,False
13695961::location_cg_so::0,13695961,location_cg_so,right_to_right,False,False,True,True,revise,True,False,True
13695961::location_cg_so::1,13695961,location_cg_so,wrong_to_wrong,False,False,True,True,revise,False,False,False
13695961::location_fg_fo::0,13695961,location_fg_fo,right_to_right,False,False,True,True,preserve,False,False,False
13695961::location_fg_fo::1,13695961,location_fg_fo,wrong_to_wrong,False,False,True,True,revise,False,False,False
13695961::location_fg_fo::2,13695961,location_fg_fo,right_to_right,False,False,True,True,preserve,False,False,False
13695961::location_fg_fo::3,13695961,location_fg_fo,wrong_to_wrong,False,False,True,True,revise,False,False,True
13695961::location_fg_so::0,13695961,location_fg_so,wrong_to_wrong,True,True,True,True,revise,True,False,False
13695961::location_fg_so::1,13695961,location_fg_so,wrong_to_wrong,False,False,True,True,preserve,False,False,False
13695961::multihop_fo::0,13695961,multihop_fo_fullness,wrong_to_wrong,False,False,True,True,revise,True,True,True
13695961::multihop_fo::1,13695961,multihop_fo_fullness,right_to_right,False,False,True,True,revise,False,False,True
13695961::multihop_fo::2,13695961,multihop_fo_fullness,right_to_right,False,False,True,True,preserve,False,False,False
13695961::multihop_fo::3,13695961,multihop_fo_fullness,wrong_to_wrong,False,False,True,True,revise,False,False,True
13695961::multihop_fo::4,13695961,multihop_fo_accessibility,right_to_right,False,False,True,True,revise,True,False,False
13695961::multihop_fo::5,13695961,multihop_fo_accessibility,wrong_to_wrong,False,False,True,True,revise,False,False,True
13695961::multihop_so::0,13695961,multihop_so_fullness,wrong_to_wrong,False,False,True,True,revise,False,False,True
13695961::multihop_so::1,13695961,multihop_so_fullness,wrong_to_wrong,False,False,True,True,revise,False,False,True
13695961::multihop_so::2,13695961,multihop_so_fullness,right_to_right,False,False,True,True,revise,False,False,True
13695961::multihop_so::3,13695961,multihop_so_fullness,wrong_to_wrong,False,False,True,True,revise,False,False,True
13695961::multihop_so::4,13695961,multihop_so_accessibility,right_to_wrong,True,True,True,True,revise,True,False,False
13695961::multihop_so::5,13695961,multihop_so_accessibility,wrong_to_wrong,False,False,True,True,revise,False,False,True
13695961::attitude::0,13695961,attitude,wrong_to_wrong,False,False,True,True,revise,False,False,True
98132318::location_cg_fo::0,98132318,location_cg_fo,right_to_right,False,False,True,True,preserve,False,False,False
98132318::location_cg_fo::1,98132318,location_cg_fo,wrong_to_wrong,False,False,True,True,revise,True,False,False
98132318::location_cg_so::0,98132318,location_cg_so,right_to_right,False,False,True,True,revise,True,False,True
98132318::location_cg_so::1,98132318,location_cg_so,wrong_to_wrong,False,False,True,True,revise,True,False,False
98132318::location_fg_fo::0,98132318,location_fg_fo,right_to_right,False,False,True,True,preserve,False,False,False
98132318::location_fg_fo::1,98132318,location_fg_fo,wrong_to_wrong,False,False,True,True,preserve,False,False,False
98132318::location_fg_fo::2,98132318,location_fg_fo,right_to_right,False,False,True,True,preserve,False,False,False
98132318::location_fg_fo::3,98132318,location_fg_fo,wrong_to_wrong,False,False,True,True,revise,True,True,True
98132318::location_fg_so::0,98132318,location_fg_so,wrong_to_wrong,False,False,True,True,revise,False,True,False
98132318::location_fg_so::1,98132318,location_fg_so,wrong_to_wrong,False,False,True,True,preserve,False,False,False
98132318::multihop_fo::0,98132318,multihop_fo_fullness,right_to_right,False,False,True,True,revise,False,False,False
98132318::multihop_fo::1,98132318,multihop_fo_fullness,right_to_right,False,False,True,True,revise,False,False,True
98132318::multihop_fo::2,98132318,multihop_fo_fullness,right_to_right,False,False,True,True,preserve,False,False,False
98132318::multihop_fo::3,98132318,multihop_fo_fullness,wrong_to_wrong,False,False,True,True,revise,False,False,True
98132318::multihop_fo::4,98132318,multihop_fo_accessibility,right_to_right,False,False,True,True,preserve,False,False,False
98132318::multihop_fo::5,98132318,multihop_fo_accessibility,wrong_to_wrong,False,False,True,True,revise,True,False,False
