system,layer,spearman_rho,belief_test_questions,valid_pairs
base,0,,346,59685
base,1,0.08796829969980535,346,59685
base,2,0.07188299241910608,346,59685
base,3,0.07503081940100424,346,59685
base,4,0.09048241584386228,346,59685
base,5,0.09473988653979833,346,59685
base,6,0.09403485395854318,346,59685
base,7,0.09827197335955515,346,59685
base,8,0.11800986587771573,346,59685
base,9,0.11419185537596674,346,59685
base,10,0.11273386616966427,346,59685
base,11,0.11458498904064007,346,59685
base,12,0.1304977378777443,346,59685
base,13,0.1310988840072232,346,59685
base,14,0.16121073387449758,346,59685
base,15,0.1754801678160232,346,59685
base,16,0.24791233637721904,346,59685
base,17,0.30125457995270305,346,59685
base,18,0.3508912795599645,346,59685
base,19,0.32712079480507245,346,59685
base,20,0.3591245516945837,346,59685
base,21,0.3475101742622053,346,59685
base,22,0.33434627042999165,346,59685
base,23,0.32910411816947766,346,59685
base,24,0.4622286500627473,346,59685
base,25,0.47314481515707235,346,59685
base,26,0.4690066862114994,346,59685
base,27,0.46917564914999277,346,59685
base,28,0.518622576000063,346,59685
base,29,0.5310124771982112,346,59685
base,30,0.5356539792914169,346,59685
base,31,0.5662658804087328,346,59685
base,32,0.5366699224964001,346,59685
answer_only,0,,346,59685
answer_only,1,0.08584940993737392,346,59685
answer_only,2,0.07142694666116405,346,59685
answer_only,3,0.07302692950088498,346,59685
answer_only,4,0.08910357572382203,346,59685
answer_only,5,0.09197851461789448,346,59685
answer_only,6,0.09314853813655072,346,59685
answer_only,7,0.0978641968050176,346,59685
answer_only,8,0.10426799363120984,346,59685
answer_only,9,0.11314600156431837,346,59685
answer_only,10,0.12271146063742526,346,59685
answer_only,11,0.1423721790695135,346,59685
answer_only,12,0.13720198942907882,346,59685
answer_only,13,0.15182592232123854,346,59685
answer_only,14,0.3068165694303248,346,59685
answer_only,15,0.33675676364453294,346,59685
answer_only,16,0.7170953489528843,346,59685
answer_only,17,0.6139523648113753,346,59685
answer_only,18,0.5305445766812059,346,59685
answer_only,19,0.4205966529554846,346,59685
answer_only,20,0.520291139089175,346,59685
answer_only,21,0.42990456254355247,346,59685
answer_only,22,0.4391308607669548,346,59685
answer_only,23,0.41416805535819023,346,59685
answer_only,24,0.4661525674155712,346,59685
answer_only,25,0.4624013082169334,346,59685
answer_only,26,0.4202957169399496,346,59685
answer_only,27,0.447675768404606,346,59685
answer_only,28,0.5388813835059022,346,59685
answer_only,29,0.5036410424573011,346,59685
answer_only,30,0.522045444600363,346,59685
answer_only,31,0.6809766605849032,346,59685
answer_only,32,0.6435854332973409,346,59685
subjectesis,0,,346,59685
subjectesis,1,0.0883627035458237,346,59685
subjectesis,2,0.07231034887834312,346,59685
subjectesis,3,0.07557452366633036,346,59685
subjectesis,4,0.08588369881827579,346,59685
subjectesis,5,0.09307033897675783,346,59685
subjectesis,6,0.09260032665574289,346,59685
subjectesis,7,0.10228826489506264,346,59685
subjectesis,8,0.11962120909025996,346,59685
subjectesis,9,0.11727710776770456,346,59685
subjectesis,10,0.11756845993060697,346,59685
subjectesis,11,0.13892297453897873,346,59685
subjectesis,12,0.1455497088622589,346,59685
subjectesis,13,0.1480373803144394,346,59685
subjectesis,14,0.20675193690311625,346,59685
subjectesis,15,0.2709025534503754,346,59685
subjectesis,16,0.5866429803570494,346,59685
subjectesis,17,0.524068917400889,346,59685
subjectesis,18,0.4585331116763945,346,59685
subjectesis,19,0.43035656480661827,346,59685
subjectesis,20,0.6541497416682984,346,59685
subjectesis,21,0.5750045980830918,346,59685
subjectesis,22,0.5967277286236055,346,59685
subjectesis,23,0.5649468336716136,346,59685
subjectesis,24,0.5867962722163743,346,59685
subjectesis,25,0.5979105707438075,346,59685
subjectesis,26,0.6201589011524365,346,59685
subjectesis,27,0.5906101149227907,346,59685
subjectesis,28,0.710741051151866,346,59685
subjectesis,29,0.6828526953939656,346,59685
subjectesis,30,0.705902187836427,346,59685
subjectesis,31,0.7882808472349688,346,59685
subjectesis,32,0.7409408807793928,346,59685
