dataset,a,b,omitted_cluster,metric,difference
rectom,answer_only_direct,base_direct,10336,mean_family_accuracy,0.21460477762672348
rectom,answer_only_direct,base_direct,10597,mean_family_accuracy,0.21353375298458876
rectom,answer_only_direct,base_direct,10695,mean_family_accuracy,0.20745828380222775
rectom,answer_only_direct,base_direct,10972,mean_family_accuracy,0.21676441837732163
rectom,answer_only_direct,base_direct,11107,mean_family_accuracy,0.20875921148592025
rectom,answer_only_direct,base_direct,11245,mean_family_accuracy,0.21460477762672348
rectom,answer_only_direct,base_direct,11616,mean_family_accuracy,0.2127597591765391
rectom,answer_only_direct,base_direct,11788,mean_family_accuracy,0.21383387303260792
rectom,answer_only_direct,base_direct,11854,mean_family_accuracy,0.2150706436420723
rectom,answer_only_direct,base_direct,12138,mean_family_accuracy,0.21390818319947913
rectom,answer_only_direct,base_direct,13013,mean_family_accuracy,0.2127597591765391
rectom,answer_only_direct,base_direct,13240,mean_family_accuracy,0.2112977708724455
rectom,answer_only_direct,base_direct,13526,mean_family_accuracy,0.21460477762672348
rectom,answer_only_direct,base_direct,13715,mean_family_accuracy,0.21461189685210647
rectom,answer_only_direct,base_direct,13787,mean_family_accuracy,0.21130060274209783
rectom,answer_only_direct,base_direct,13964,mean_family_accuracy,0.21306071467361787
rectom,answer_only_direct,base_direct,14045,mean_family_accuracy,0.21684935967006735
rectom,answer_only_direct,base_direct,14087,mean_family_accuracy,0.21383442265795216
rectom,answer_only_direct,base_direct,14197,mean_family_accuracy,0.21167934553245826
rectom,answer_only_direct,base_direct,14849,mean_family_accuracy,0.21645691530229083
rectom,answer_only_direct,base_direct,14887,mean_family_accuracy,0.21283754729962157
rectom,answer_only_direct,base_direct,1495,mean_family_accuracy,0.2122670670317055
rectom,answer_only_direct,base_direct,1507,mean_family_accuracy,0.2124492483862892
rectom,answer_only_direct,base_direct,1509,mean_family_accuracy,0.21546395106715255
rectom,answer_only_direct,base_direct,16354,mean_family_accuracy,0.21198001520582177
rectom,answer_only_direct,base_direct,16581,mean_family_accuracy,0.21499063964246679
rectom,answer_only_direct,base_direct,16663,mean_family_accuracy,0.21352436398264274
rectom,answer_only_direct,base_direct,16868,mean_family_accuracy,0.21715686274509804
rectom,answer_only_direct,base_direct,17125,mean_family_accuracy,0.2094527524222609
rectom,answer_only_direct,base_direct,17512,mean_family_accuracy,0.2175287542349107
rectom,answer_only_direct,base_direct,17911,mean_family_accuracy,0.21537877143477313
rectom,answer_only_direct,base_direct,18692,mean_family_accuracy,0.2139965297860036
rectom,answer_only_direct,base_direct,18817,mean_family_accuracy,0.21140003407445263
rectom,answer_only_direct,base_direct,19367,mean_family_accuracy,0.21390818319947913
rectom,answer_only_direct,base_direct,19877,mean_family_accuracy,0.2113808866655167
rectom,answer_only_direct,base_direct,20778,mean_family_accuracy,0.21099931200550381
rectom,answer_only_direct,base_direct,21114,mean_family_accuracy,0.20878172697650488
rectom,answer_only_direct,base_direct,21192,mean_family_accuracy,0.2116589962743809
rectom,answer_only_direct,base_direct,21333,mean_family_accuracy,0.215373649459784
rectom,answer_only_direct,base_direct,21364,mean_family_accuracy,0.21091474072635452
rectom,answer_only_direct,base_direct,21529,mean_family_accuracy,0.2127597591765391
rectom,answer_only_direct,base_direct,21941,mean_family_accuracy,0.21167934553245826
rectom,answer_only_direct,base_direct,21954,mean_family_accuracy,0.21461189685210635
rectom,answer_only_direct,base_direct,21968,mean_family_accuracy,0.2120580883228187
rectom,answer_only_direct,base_direct,2252,mean_family_accuracy,0.21499013806706113
rectom,answer_only_direct,base_direct,22918,mean_family_accuracy,0.21615167327928242
rectom,answer_only_direct,base_direct,2349,mean_family_accuracy,0.21645691530229083
rectom,answer_only_direct,base_direct,2369,mean_family_accuracy,0.20760582010582007
rectom,answer_only_direct,base_direct,2630,mean_family_accuracy,0.2146047776267236
rectom,answer_only_direct,base_direct,3828,mean_family_accuracy,0.2145969498910676
rectom,answer_only_direct,base_direct,4529,mean_family_accuracy,0.20533769063180818
rectom,answer_only_direct,base_direct,4669,mean_family_accuracy,0.21276687840192188
rectom,answer_only_direct,base_direct,474,mean_family_accuracy,0.21541005291005288
rectom,answer_only_direct,base_direct,5802,mean_family_accuracy,0.2127597591765391
rectom,answer_only_direct,base_direct,5919,mean_family_accuracy,0.21537877143477324
rectom,answer_only_direct,base_direct,6009,mean_family_accuracy,0.21599606385305048
rectom,answer_only_direct,base_direct,6325,mean_family_accuracy,0.2127499180596525
rectom,answer_only_direct,base_direct,6708,mean_family_accuracy,0.21421568627450982
rectom,answer_only_direct,base_direct,6778,mean_family_accuracy,0.21207768821814432
rectom,answer_only_direct,base_direct,6866,mean_family_accuracy,0.21499063964246679
rectom,answer_only_direct,base_direct,6940,mean_family_accuracy,0.21243759496418502
rectom,answer_only_direct,base_direct,7180,mean_family_accuracy,0.215373649459784
rectom,answer_only_direct,base_direct,7851,mean_family_accuracy,0.21012816335396978
rectom,answer_only_direct,base_direct,8281,mean_family_accuracy,0.21352436398264274
rectom,answer_only_direct,base_direct,8331,mean_family_accuracy,0.21676441837732163
rectom,answer_only_direct,base_direct,9336,mean_family_accuracy,0.2149906396424669
rectom,answer_only_direct,base_direct,9693,mean_family_accuracy,0.21283754729962157
rectom,subjectesis_direct,base_direct,10336,mean_family_accuracy,0.2128298914568092
rectom,subjectesis_direct,base_direct,10597,mean_family_accuracy,0.21318645539396575
rectom,subjectesis_direct,base_direct,10695,mean_family_accuracy,0.20863051996653892
rectom,subjectesis_direct,base_direct,10972,mean_family_accuracy,0.21498859563375694
rectom,subjectesis_direct,base_direct,11107,mean_family_accuracy,0.20876465401822164
rectom,subjectesis_direct,base_direct,11245,mean_family_accuracy,0.2128298914568092
rectom,subjectesis_direct,base_direct,11616,mean_family_accuracy,0.21098487300662483
rectom,subjectesis_direct,base_direct,11788,mean_family_accuracy,0.2120802986455521
rectom,subjectesis_direct,base_direct,11854,mean_family_accuracy,0.21327651939896852
rectom,subjectesis_direct,base_direct,12138,mean_family_accuracy,0.2120902973735619
rectom,subjectesis_direct,base_direct,13013,mean_family_accuracy,0.21098487300662483
rectom,subjectesis_direct,base_direct,13240,mean_family_accuracy,0.20952288470253122
rectom,subjectesis_direct,base_direct,13526,mean_family_accuracy,0.2142918797609028
rectom,subjectesis_direct,base_direct,13715,mean_family_accuracy,0.21134929824371562
rectom,subjectesis_direct,base_direct,13787,mean_family_accuracy,0.20950427979353103
rectom,subjectesis_direct,base_direct,13964,mean_family_accuracy,0.21128489193005318
rectom,subjectesis_direct,base_direct,14045,mean_family_accuracy,0.2150314738441501
rectom,subjectesis_direct,base_direct,14087,mean_family_accuracy,0.21203703703703702
rectom,subjectesis_direct,base_direct,14197,mean_family_accuracy,0.21134929824371562
rectom,subjectesis_direct,base_direct,14849,mean_family_accuracy,0.2131943166939001
rectom,subjectesis_direct,base_direct,14887,mean_family_accuracy,0.21104231166150678
rectom,subjectesis_direct,base_direct,1495,mean_family_accuracy,0.2071226706703171
rectom,subjectesis_direct,base_direct,1507,mean_family_accuracy,0.21060967246840612
rectom,subjectesis_direct,base_direct,1509,mean_family_accuracy,0.21360402568106884
rectom,subjectesis_direct,base_direct,16354,mean_family_accuracy,0.21020419246225708
rectom,subjectesis_direct,base_direct,16581,mean_family_accuracy,0.2131943166939001
rectom,subjectesis_direct,base_direct,16663,mean_family_accuracy,0.2131943166939001
rectom,subjectesis_direct,base_direct,16868,mean_family_accuracy,0.21535947712418302
rectom,subjectesis_direct,base_direct,17125,mean_family_accuracy,0.20767786625234663
rectom,subjectesis_direct,base_direct,17512,mean_family_accuracy,0.2157538680649964
rectom,subjectesis_direct,base_direct,17911,mean_family_accuracy,0.21171586715867152
rectom,subjectesis_direct,base_direct,18692,mean_family_accuracy,0.21218109376004124
rectom,subjectesis_direct,base_direct,18817,mean_family_accuracy,0.20962709770849297
rectom,subjectesis_direct,base_direct,19367,mean_family_accuracy,0.2120902973735619
rectom,subjectesis_direct,base_direct,19877,mean_family_accuracy,0.20956421424874938
rectom,subjectesis_direct,base_direct,20778,mean_family_accuracy,0.20920407636738902
rectom,subjectesis_direct,base_direct,21114,mean_family_accuracy,0.20700780312124856
rectom,subjectesis_direct,base_direct,21192,mean_family_accuracy,0.20833881218496597
rectom,subjectesis_direct,base_direct,21333,mean_family_accuracy,0.21359972560452767
rectom,subjectesis_direct,base_direct,21364,mean_family_accuracy,0.20913985455644024
rectom,subjectesis_direct,base_direct,21529,mean_family_accuracy,0.21098487300662483
rectom,subjectesis_direct,base_direct,21941,mean_family_accuracy,0.20988302258389158
rectom,subjectesis_direct,base_direct,21954,mean_family_accuracy,0.21281557390353967
rectom,subjectesis_direct,base_direct,21968,mean_family_accuracy,0.210261765374252
rectom,subjectesis_direct,base_direct,2252,mean_family_accuracy,0.21314924391847478
rectom,subjectesis_direct,base_direct,22918,mean_family_accuracy,0.2143350008625151
rectom,subjectesis_direct,base_direct,2349,mean_family_accuracy,0.21466059235372414
rectom,subjectesis_direct,base_direct,2369,mean_family_accuracy,0.20572089947089944
rectom,subjectesis_direct,base_direct,2630,mean_family_accuracy,0.2128298914568093
rectom,subjectesis_direct,base_direct,3828,mean_family_accuracy,0.21094771241830068
rectom,subjectesis_direct,base_direct,4529,mean_family_accuracy,0.20354030501089304
rectom,subjectesis_direct,base_direct,4669,mean_family_accuracy,0.20950427979353115
rectom,subjectesis_direct,base_direct,474,mean_family_accuracy,0.21352513227513237
rectom,subjectesis_direct,base_direct,5802,mean_family_accuracy,0.21098487300662483
rectom,subjectesis_direct,base_direct,5919,mean_family_accuracy,0.21503147384415022
rectom,subjectesis_direct,base_direct,6009,mean_family_accuracy,0.21421933085501854
rectom,subjectesis_direct,base_direct,6325,mean_family_accuracy,0.21055391674860702
rectom,subjectesis_direct,base_direct,6708,mean_family_accuracy,0.21241830065359468
rectom,subjectesis_direct,base_direct,6778,mean_family_accuracy,0.21359972560452745
rectom,subjectesis_direct,base_direct,6866,mean_family_accuracy,0.2131943166939001
rectom,subjectesis_direct,base_direct,6940,mean_family_accuracy,0.21061970913826777
rectom,subjectesis_direct,base_direct,7180,mean_family_accuracy,0.21359972560452756
rectom,subjectesis_direct,base_direct,7851,mean_family_accuracy,0.20981861627022913
rectom,subjectesis_direct,base_direct,8281,mean_family_accuracy,0.21172804103407605
rectom,subjectesis_direct,base_direct,8331,mean_family_accuracy,0.21498859563375694
rectom,subjectesis_direct,base_direct,9336,mean_family_accuracy,0.21134929824371562
rectom,subjectesis_direct,base_direct,9693,mean_family_accuracy,0.21104231166150678
rectom,subjectesis_direct,answer_only_direct,10336,mean_family_accuracy,-0.0017748861699142804
rectom,subjectesis_direct,answer_only_direct,10597,mean_family_accuracy,-0.0003472975906230191
rectom,subjectesis_direct,answer_only_direct,10695,mean_family_accuracy,0.001172236164311169
rectom,subjectesis_direct,answer_only_direct,10972,mean_family_accuracy,-0.0017758227435646923
rectom,subjectesis_direct,answer_only_direct,11107,mean_family_accuracy,5.4425323013918e-06
rectom,subjectesis_direct,answer_only_direct,11245,mean_family_accuracy,-0.0017748861699142804
rectom,subjectesis_direct,answer_only_direct,11616,mean_family_accuracy,-0.0017748861699142804
rectom,subjectesis_direct,answer_only_direct,11788,mean_family_accuracy,-0.0017535743870558118
rectom,subjectesis_direct,answer_only_direct,11854,mean_family_accuracy,-0.0017941242431037674
rectom,subjectesis_direct,answer_only_direct,12138,mean_family_accuracy,-0.0018178858259172426
rectom,subjectesis_direct,answer_only_direct,13013,mean_family_accuracy,-0.0017748861699142804
rectom,subjectesis_direct,answer_only_direct,13240,mean_family_accuracy,-0.0017748861699142804
rectom,subjectesis_direct,answer_only_direct,13526,mean_family_accuracy,-0.0003128978658206716
rectom,subjectesis_direct,answer_only_direct,13715,mean_family_accuracy,-0.003262598608390843
rectom,subjectesis_direct,answer_only_direct,13787,mean_family_accuracy,-0.0017963229485667975
rectom,subjectesis_direct,answer_only_direct,13964,mean_family_accuracy,-0.0017758227435646923
rectom,subjectesis_direct,answer_only_direct,14045,mean_family_accuracy,-0.0018178858259172426
rectom,subjectesis_direct,answer_only_direct,14087,mean_family_accuracy,-0.0017973856209151373
rectom,subjectesis_direct,answer_only_direct,14197,mean_family_accuracy,-0.0003300472887426409
rectom,subjectesis_direct,answer_only_direct,14849,mean_family_accuracy,-0.003262598608390732
rectom,subjectesis_direct,answer_only_direct,14887,mean_family_accuracy,-0.0017952356381147894
rectom,subjectesis_direct,answer_only_direct,1495,mean_family_accuracy,-0.005144396361388415
rectom,subjectesis_direct,answer_only_direct,1507,mean_family_accuracy,-0.001839575917883085
rectom,subjectesis_direct,answer_only_direct,1509,mean_family_accuracy,-0.001859925386083705
rectom,subjectesis_direct,answer_only_direct,16354,mean_family_accuracy,-0.0017758227435646923
