record_id,field,decision,valid,old_value,new_value,value_changed,claim_changed,citation_changed,withdrawal
belief_0,proposer,preserve,True,seeker,seeker,False,False,False,False
belief_0,seen,retain_unknown,True,unknown,unknown,False,False,False,False
belief_0,appraisal,preserve,True,likes,likes,False,False,False,False
belief_1,proposer,preserve,True,seeker,seeker,False,False,False,False
belief_1,seen,revise,True,unknown,yes,True,True,True,False
belief_1,appraisal,preserve,True,likes,likes,False,False,False,False
belief_2,proposer,preserve,True,recommender,recommender,False,False,False,False
belief_2,seen,retain_unknown,True,unknown,unknown,False,False,False,False
belief_2,recommendation_response,preserve,True,accepted,accepted,False,False,False,False
belief_3,proposer,preserve,True,recommender,recommender,False,False,False,False
belief_3,seen,preserve,True,yes,yes,False,False,False,False
belief_3,recommendation_response,retain_unknown,True,unknown,unknown,False,False,False,False
belief_4,proposer,preserve,True,recommender,recommender,False,False,False,False
belief_4,seen,retain_unknown,True,unknown,unknown,False,False,False,False
belief_4,recommendation_response,preserve,True,declined,declined,False,False,False,False
belief_5,proposer,preserve,True,seeker,seeker,False,False,False,False
belief_5,seen,revise,True,yes,unknown,True,True,True,True
belief_5,appraisal,preserve,True,likes,likes,False,False,False,False
belief_6,proposer,preserve,True,recommender,recommender,False,False,False,False
belief_6,seen,retain_unknown,True,unknown,unknown,False,False,False,False
belief_6,recommendation_response,retain_unknown,True,unknown,unknown,False,False,False,False
belief_7,proposer,preserve,True,recommender,recommender,False,False,False,False
belief_7,seen,preserve,True,yes,yes,False,False,False,False
belief_7,recommendation_response,retain_unknown,True,unknown,unknown,False,False,False,False
belief_8,proposer,preserve,True,seeker,seeker,False,False,False,False
belief_8,seen,retain_unknown,True,unknown,unknown,False,False,False,False
belief_8,appraisal,preserve,True,dislikes,dislikes,False,False,False,False
belief_9,proposer,preserve,True,seeker,seeker,False,False,False,False
belief_9,seen,revise,True,yes,unknown,True,True,True,True
belief_9,appraisal,preserve,True,likes,likes,False,False,False,False
belief_124,proposer,preserve,True,recommender,recommender,False,False,False,False
belief_124,seen,retain_unknown,True,unknown,unknown,False,False,False,False
