dataset,grouping,group,system,questions,clusters,correct,accuracy,out_of_target
rectom,family,belief,base_direct,346,67,233,0.6734104046242775,0
rectom,family,belief,answer_only_direct,346,67,324,0.9364161849710982,0
rectom,family,belief,subjectesis_direct,346,67,319,0.9219653179190751,0
rectom,family,belief,subjectesis_no_review,346,67,321,0.9277456647398844,0
rectom,family,belief,subjectesis_review,346,67,321,0.9277456647398844,0
rectom,family,desire,base_direct,275,67,219,0.7963636363636364,0
rectom,family,desire,answer_only_direct,275,67,264,0.96,0
rectom,family,desire,subjectesis_direct,275,67,267,0.9709090909090909,0
rectom,family,desire,subjectesis_no_review,275,67,264,0.96,0
rectom,family,desire,subjectesis_review,275,67,264,0.96,0
rectom,order,belief_or_desire_not_directly_comparable_to_opentom_orders,base_direct,621,67,452,0.7278582930756844,0
rectom,order,belief_or_desire_not_directly_comparable_to_opentom_orders,answer_only_direct,621,67,588,0.9468599033816425,0
rectom,order,belief_or_desire_not_directly_comparable_to_opentom_orders,subjectesis_direct,621,67,586,0.9436392914653784,0
rectom,order,belief_or_desire_not_directly_comparable_to_opentom_orders,subjectesis_no_review,621,67,585,0.9420289855072463,0
rectom,order,belief_or_desire_not_directly_comparable_to_opentom_orders,subjectesis_review,621,67,585,0.9420289855072463,0
opentom,family,attitude,base_direct,27,27,11,0.4074074074074074,0
opentom,family,attitude,answer_only_direct,27,27,12,0.4444444444444444,0
opentom,family,attitude,subjectesis_direct,27,27,10,0.37037037037037035,0
opentom,family,attitude,subjectesis_no_review,27,27,12,0.4444444444444444,0
opentom,family,attitude,subjectesis_review,27,27,12,0.4444444444444444,0
opentom,family,location_cg_fo,base_direct,54,27,40,0.7407407407407407,0
opentom,family,location_cg_fo,answer_only_direct,54,27,37,0.6851851851851852,0
opentom,family,location_cg_fo,subjectesis_direct,54,27,36,0.6666666666666666,0
opentom,family,location_cg_fo,subjectesis_no_review,54,27,36,0.6666666666666666,0
opentom,family,location_cg_fo,subjectesis_review,54,27,36,0.6666666666666666,0
opentom,family,location_cg_so,base_direct,54,27,24,0.4444444444444444,0
opentom,family,location_cg_so,answer_only_direct,54,27,23,0.42592592592592593,0
opentom,family,location_cg_so,subjectesis_direct,54,27,24,0.4444444444444444,0
opentom,family,location_cg_so,subjectesis_no_review,54,27,23,0.42592592592592593,0
opentom,family,location_cg_so,subjectesis_review,54,27,21,0.3888888888888889,0
opentom,family,location_fg_fo,base_direct,108,27,72,0.6666666666666666,19
opentom,family,location_fg_fo,answer_only_direct,108,27,75,0.6944444444444444,17
opentom,family,location_fg_fo,subjectesis_direct,108,27,72,0.6666666666666666,21
opentom,family,location_fg_fo,subjectesis_no_review,108,27,74,0.6851851851851852,22
opentom,family,location_fg_fo,subjectesis_review,108,27,74,0.6851851851851852,22
opentom,family,location_fg_so,base_direct,54,27,17,0.3148148148148148,9
opentom,family,location_fg_so,answer_only_direct,54,27,15,0.2777777777777778,9
opentom,family,location_fg_so,subjectesis_direct,54,27,15,0.2777777777777778,10
opentom,family,location_fg_so,subjectesis_no_review,54,27,17,0.3148148148148148,13
opentom,family,location_fg_so,subjectesis_review,54,27,14,0.25925925925925924,14
opentom,family,multihop_fo_accessibility,base_direct,54,27,30,0.5555555555555556,0
opentom,family,multihop_fo_accessibility,answer_only_direct,54,27,29,0.5370370370370371,0
opentom,family,multihop_fo_accessibility,subjectesis_direct,54,27,30,0.5555555555555556,0
opentom,family,multihop_fo_accessibility,subjectesis_no_review,54,27,30,0.5555555555555556,0
opentom,family,multihop_fo_accessibility,subjectesis_review,54,27,32,0.5925925925925926,0
opentom,family,multihop_fo_fullness,base_direct,108,27,69,0.6388888888888888,0
opentom,family,multihop_fo_fullness,answer_only_direct,108,27,69,0.6388888888888888,0
opentom,family,multihop_fo_fullness,subjectesis_direct,108,27,70,0.6481481481481481,0
opentom,family,multihop_fo_fullness,subjectesis_no_review,108,27,72,0.6666666666666666,1
opentom,family,multihop_fo_fullness,subjectesis_review,108,27,72,0.6666666666666666,1
opentom,family,multihop_so_accessibility,base_direct,54,27,28,0.5185185185185185,0
opentom,family,multihop_so_accessibility,answer_only_direct,54,27,25,0.46296296296296297,0
opentom,family,multihop_so_accessibility,subjectesis_direct,54,27,26,0.48148148148148145,0
opentom,family,multihop_so_accessibility,subjectesis_no_review,54,27,28,0.5185185185185185,0
opentom,family,multihop_so_accessibility,subjectesis_review,54,27,28,0.5185185185185185,0
opentom,family,multihop_so_fullness,base_direct,108,27,41,0.37962962962962965,0
opentom,family,multihop_so_fullness,answer_only_direct,108,27,41,0.37962962962962965,0
opentom,family,multihop_so_fullness,subjectesis_direct,108,27,39,0.3611111111111111,0
opentom,family,multihop_so_fullness,subjectesis_no_review,108,27,39,0.3611111111111111,2
opentom,family,multihop_so_fullness,subjectesis_review,108,27,36,0.3333333333333333,2
opentom,order,attitude,base_direct,27,27,11,0.4074074074074074,0
opentom,order,attitude,answer_only_direct,27,27,12,0.4444444444444444,0
opentom,order,attitude,subjectesis_direct,27,27,10,0.37037037037037035,0
opentom,order,attitude,subjectesis_no_review,27,27,12,0.4444444444444444,0
opentom,order,attitude,subjectesis_review,27,27,12,0.4444444444444444,0
opentom,order,first_order,base_direct,324,27,211,0.6512345679012346,19
opentom,order,first_order,answer_only_direct,324,27,210,0.6481481481481481,17
opentom,order,first_order,subjectesis_direct,324,27,208,0.6419753086419753,21
opentom,order,first_order,subjectesis_no_review,324,27,212,0.654320987654321,23
opentom,order,first_order,subjectesis_review,324,27,214,0.6604938271604939,23
opentom,order,second_order,base_direct,270,27,110,0.4074074074074074,9
opentom,order,second_order,answer_only_direct,270,27,104,0.3851851851851852,9
opentom,order,second_order,subjectesis_direct,270,27,104,0.3851851851851852,10
opentom,order,second_order,subjectesis_no_review,270,27,107,0.3962962962962963,15
opentom,order,second_order,subjectesis_review,270,27,99,0.36666666666666664,16
