record_id,cluster,family,transition,raw_answer_changed,parsed_answer_changed,value_changes,basis_changes,citation_changes,any_state_change,review_calls,initial_finalizer_disagreement,unknown_fields,unsupported_answer_claim_count
belief_0,474,belief,right_to_right,False,False,0,0,0,False,3,False,2,1
belief_1,474,belief,right_to_right,False,False,1,1,1,True,3,False,2,1
belief_2,474,belief,right_to_right,False,False,0,0,0,False,3,False,2,1
belief_3,474,belief,wrong_to_wrong,False,False,0,0,0,False,3,False,1,1
belief_4,474,belief,right_to_right,False,False,0,0,0,False,3,False,2,1
belief_5,474,belief,right_to_right,False,False,1,1,1,True,3,False,1,0
belief_6,474,belief,right_to_right,False,False,0,0,0,False,3,False,3,2
belief_7,474,belief,right_to_right,False,False,0,0,0,False,3,False,1,1
belief_8,474,belief,right_to_right,False,False,0,0,0,False,3,False,2,1
belief_9,474,belief,right_to_right,False,False,1,1,1,True,3,False,1,0
belief_124,1495,belief,wrong_to_wrong,False,False,0,0,0,False,3,False,3,2
belief_125,1495,belief,wrong_to_wrong,False,False,0,0,0,False,3,False,2,1
belief_126,1495,belief,right_to_right,False,False,0,0,0,False,3,False,1,1
belief_127,1495,belief,right_to_right,False,False,0,0,0,False,3,False,2,1
belief_128,1495,belief,right_to_right,False,False,0,0,0,False,3,False,2,1
belief_129,1495,belief,right_to_right,False,False,0,0,0,False,3,False,2,1
belief_130,1495,belief,right_to_right,False,False,0,0,0,False,3,False,2,1
belief_131,1495,belief,right_to_right,False,False,1,1,1,True,3,False,1,0
belief_143,1507,belief,right_to_right,False,False,0,0,0,False,3,False,0,0
belief_144,1507,belief,right_to_right,False,False,0,0,0,False,3,False,1,0
belief_145,1507,belief,right_to_right,False,False,0,0,0,False,3,False,2,1
belief_146,1507,belief,right_to_right,False,False,0,0,0,False,3,False,1,1
belief_147,1507,belief,right_to_right,False,False,0,0,0,False,3,False,2,1
belief_148,1507,belief,right_to_right,False,False,0,0,0,False,3,False,1,1
belief_149,1507,belief,right_to_right,False,False,0,0,0,False,3,False,3,2
belief_150,1509,belief,right_to_right,False,False,0,0,0,False,3,True,2,1
belief_151,1509,belief,right_to_right,False,False,0,0,0,False,3,False,2,1
belief_152,1509,belief,right_to_right,False,False,0,0,0,False,3,False,2,1
