dataset,system,family,label,support,supporting_clusters,predicted,tp,recall,precision,f1
rectom,base_direct,belief,A,39,35,47,30,0.7692307692307693,0.6382978723404256,0.6976744186046512
rectom,base_direct,belief,B,80,49,111,69,0.8625,0.6216216216216216,0.7225130890052356
rectom,base_direct,belief,C,41,35,77,34,0.8292682926829268,0.44155844155844154,0.576271186440678
rectom,base_direct,belief,D,109,56,48,42,0.3853211009174312,0.875,0.535031847133758
rectom,base_direct,belief,E,1,1,1,1,1.0,1.0,1.0
rectom,base_direct,belief,F,2,2,2,0,0.0,0.0,0.0
rectom,base_direct,belief,G,74,42,60,57,0.7702702702702703,0.95,0.8507462686567164
rectom,base_direct,desire,A,191,67,137,136,0.7120418848167539,0.9927007299270073,0.8292682926829268
rectom,base_direct,desire,B,84,66,138,83,0.9880952380952381,0.6014492753623188,0.7477477477477478
rectom,answer_only_direct,belief,A,39,35,39,33,0.8461538461538461,0.8461538461538461,0.8461538461538461
rectom,answer_only_direct,belief,B,80,49,81,76,0.95,0.9382716049382716,0.9440993788819876
rectom,answer_only_direct,belief,C,41,35,40,36,0.8780487804878049,0.9,0.8888888888888888
rectom,answer_only_direct,belief,D,109,56,109,104,0.9541284403669725,0.9541284403669725,0.9541284403669725
rectom,answer_only_direct,belief,E,1,1,2,1,1.0,0.5,0.6666666666666666
rectom,answer_only_direct,belief,F,2,2,1,1,0.5,1.0,0.6666666666666666
rectom,answer_only_direct,belief,G,74,42,74,73,0.9864864864864865,0.9864864864864865,0.9864864864864865
rectom,answer_only_direct,desire,A,191,67,190,185,0.9685863874345549,0.9736842105263158,0.9711286089238845
rectom,answer_only_direct,desire,B,84,66,85,79,0.9404761904761905,0.9294117647058824,0.9349112426035503
rectom,subjectesis_direct,belief,A,39,35,35,31,0.7948717948717948,0.8857142857142857,0.8378378378378378
rectom,subjectesis_direct,belief,B,80,49,81,75,0.9375,0.9259259259259259,0.9316770186335404
rectom,subjectesis_direct,belief,C,41,35,47,38,0.926829268292683,0.8085106382978723,0.8636363636363636
rectom,subjectesis_direct,belief,D,109,56,106,101,0.926605504587156,0.9528301886792453,0.9395348837209302
rectom,subjectesis_direct,belief,E,1,1,3,1,1.0,0.3333333333333333,0.5
rectom,subjectesis_direct,belief,F,2,2,1,1,0.5,1.0,0.6666666666666666
rectom,subjectesis_direct,belief,G,74,42,73,72,0.972972972972973,0.9863013698630136,0.9795918367346939
rectom,subjectesis_direct,desire,A,191,67,189,186,0.9738219895287958,0.9841269841269841,0.9789473684210527
rectom,subjectesis_direct,desire,B,84,66,86,81,0.9642857142857143,0.9418604651162791,0.9529411764705882
rectom,subjectesis_no_review,belief,A,39,35,37,33,0.8461538461538461,0.8918918918918919,0.868421052631579
rectom,subjectesis_no_review,belief,B,80,49,81,75,0.9375,0.9259259259259259,0.9316770186335404
rectom,subjectesis_no_review,belief,C,41,35,45,38,0.926829268292683,0.8444444444444444,0.8837209302325582
rectom,subjectesis_no_review,belief,D,109,56,106,101,0.926605504587156,0.9528301886792453,0.9395348837209302
rectom,subjectesis_no_review,belief,E,1,1,3,1,1.0,0.3333333333333333,0.5
rectom,subjectesis_no_review,belief,F,2,2,1,1,0.5,1.0,0.6666666666666666
rectom,subjectesis_no_review,belief,G,74,42,73,72,0.972972972972973,0.9863013698630136,0.9795918367346939
rectom,subjectesis_no_review,desire,A,191,67,184,182,0.9528795811518325,0.9891304347826086,0.9706666666666667
rectom,subjectesis_no_review,desire,B,84,66,91,82,0.9761904761904762,0.9010989010989011,0.9371428571428572
rectom,subjectesis_review,belief,A,39,35,37,33,0.8461538461538461,0.8918918918918919,0.868421052631579
rectom,subjectesis_review,belief,B,80,49,81,75,0.9375,0.9259259259259259,0.9316770186335404
rectom,subjectesis_review,belief,C,41,35,45,38,0.926829268292683,0.8444444444444444,0.8837209302325582
rectom,subjectesis_review,belief,D,109,56,106,101,0.926605504587156,0.9528301886792453,0.9395348837209302
rectom,subjectesis_review,belief,E,1,1,3,1,1.0,0.3333333333333333,0.5
rectom,subjectesis_review,belief,F,2,2,1,1,0.5,1.0,0.6666666666666666
rectom,subjectesis_review,belief,G,74,42,73,72,0.972972972972973,0.9863013698630136,0.9795918367346939
rectom,subjectesis_review,desire,A,191,67,184,182,0.9528795811518325,0.9891304347826086,0.9706666666666667
rectom,subjectesis_review,desire,B,84,66,91,82,0.9761904761904762,0.9010989010989011,0.9371428571428572
