field,comparison,layer,point_macro_f1_difference,ci95_low,ci95_high,bootstrap_repetitions,bootstrap_unit
proposer,subjectesis - answer_only,32,0.0,0.0,0.0,5000,dialogue
proposer,subjectesis - base,32,0.028835049705339566,0.004874747380800854,0.058398085391817726,5000,dialogue
proposer,answer_only - base,32,0.028835049705339566,0.004955676058777184,0.057507342451256854,5000,dialogue
seen,subjectesis - answer_only,32,-0.02464843809418593,-0.047576351710270415,-0.0031919292912881503,5000,dialogue
seen,subjectesis - base,32,0.016820465178914557,-0.018824746721850232,0.05142747488204128,5000,dialogue
seen,answer_only - base,32,0.04146890327310049,0.0032531378410061737,0.07942042868922468,5000,dialogue
recommendation_response,subjectesis - answer_only,32,-0.01272528334893308,-0.03316607271826016,0.005038340412947611,5000,dialogue
recommendation_response,subjectesis - base,32,0.11151623354242779,0.0687189739657777,0.1527835287527266,5000,dialogue
recommendation_response,answer_only - base,32,0.12424151689136087,0.07937104479668573,0.1695925274445313,5000,dialogue
appraisal,subjectesis - answer_only,32,0.0,0.0,0.0,5000,dialogue
appraisal,subjectesis - base,32,0.2041717349191332,0.003702499758365327,0.5202702702702703,5000,dialogue
appraisal,answer_only - base,32,0.2041717349191332,0.0040644530320806576,0.5211267605633803,5000,dialogue
intends_to_watch,subjectesis - answer_only,32,0.004414727044911304,-0.017563887578448047,0.026557142450213258,5000,dialogue
intends_to_watch,subjectesis - base,32,0.05319143994855691,0.025327955714244163,0.08112441965231111,5000,dialogue
intends_to_watch,answer_only - base,32,0.0487767129036456,0.02183378494231012,0.07731327550004205,5000,dialogue
