dataset,record_id,family,system,raw,parsed,out_of_target,saved_corrupt_flag,ambiguous_location
opentom,74356138::location_cg_fo::0,location_cg_fo,base_direct,No,0,False,False,False
opentom,74356138::location_cg_fo::0,location_cg_fo,answer_only_direct,No,0,False,False,False
opentom,74356138::location_cg_fo::0,location_cg_fo,subjectesis_direct,No,0,False,False,False
opentom,74356138::location_cg_fo::0,location_cg_fo,subjectesis_no_review,No,0,False,False,False
opentom,74356138::location_cg_fo::0,location_cg_fo,subjectesis_review,No,0,False,False,False
opentom,74356138::location_cg_fo::1,location_cg_fo,base_direct,No,0,False,False,False
opentom,74356138::location_cg_fo::1,location_cg_fo,answer_only_direct,No,0,False,False,False
opentom,74356138::location_cg_fo::1,location_cg_fo,subjectesis_direct,No,0,False,False,False
opentom,74356138::location_cg_fo::1,location_cg_fo,subjectesis_no_review,No,0,False,False,False
opentom,74356138::location_cg_fo::1,location_cg_fo,subjectesis_review,No,0,False,False,False
opentom,74356138::location_cg_so::0,location_cg_so,base_direct,No,0,False,False,False
opentom,74356138::location_cg_so::0,location_cg_so,answer_only_direct,No,0,False,False,False
opentom,74356138::location_cg_so::0,location_cg_so,subjectesis_direct,No,0,False,False,False
opentom,74356138::location_cg_so::0,location_cg_so,subjectesis_no_review,No,0,False,False,False
opentom,74356138::location_cg_so::0,location_cg_so,subjectesis_review,No,0,False,False,False
opentom,74356138::location_cg_so::1,location_cg_so,base_direct,No,0,False,False,False
opentom,74356138::location_cg_so::1,location_cg_so,answer_only_direct,No,0,False,False,False
opentom,74356138::location_cg_so::1,location_cg_so,subjectesis_direct,No,0,False,False,False
opentom,74356138::location_cg_so::1,location_cg_so,subjectesis_no_review,No,0,False,False,False
opentom,74356138::location_cg_so::1,location_cg_so,subjectesis_review,No,0,False,False,False
opentom,74356138::location_fg_fo::0,location_fg_fo,base_direct,in the garbage bin,2,False,False,False
opentom,74356138::location_fg_fo::0,location_fg_fo,answer_only_direct,garbage bin,2,False,False,False
opentom,74356138::location_fg_fo::0,location_fg_fo,subjectesis_direct,garbage bin,2,False,False,False
opentom,74356138::location_fg_fo::0,location_fg_fo,subjectesis_no_review,in the garbage bin,2,False,False,False
opentom,74356138::location_fg_fo::0,location_fg_fo,subjectesis_review,in the garbage bin,2,False,False,False
opentom,74356138::location_fg_fo::1,location_fg_fo,base_direct,in a bucket,1,False,False,False
opentom,74356138::location_fg_fo::1,location_fg_fo,answer_only_direct,in a bucket,1,False,False,False
opentom,74356138::location_fg_fo::1,location_fg_fo,subjectesis_direct,in a bucket,1,False,False,False
opentom,74356138::location_fg_fo::1,location_fg_fo,subjectesis_no_review,in a bucket,1,False,False,False
opentom,74356138::location_fg_fo::1,location_fg_fo,subjectesis_review,in a bucket,1,False,False,False
opentom,74356138::location_fg_fo::2,location_fg_fo,base_direct,in the garbage bin,2,False,False,False
opentom,74356138::location_fg_fo::2,location_fg_fo,answer_only_direct,in the garbage bin,2,False,False,False
opentom,74356138::location_fg_fo::2,location_fg_fo,subjectesis_direct,in the garbage bin,2,False,False,False
opentom,74356138::location_fg_fo::2,location_fg_fo,subjectesis_no_review,in the garbage bin,2,False,False,False
opentom,74356138::location_fg_fo::2,location_fg_fo,subjectesis_review,in the garbage bin,2,False,False,False
opentom,74356138::location_fg_fo::3,location_fg_fo,base_direct,in the garbage bin,2,False,False,False
opentom,74356138::location_fg_fo::3,location_fg_fo,answer_only_direct,in the garbage bin,2,False,False,False
opentom,74356138::location_fg_fo::3,location_fg_fo,subjectesis_direct,gone,3,True,False,True
opentom,74356138::location_fg_fo::3,location_fg_fo,subjectesis_no_review,in the garbage bin,2,False,False,False
opentom,74356138::location_fg_fo::3,location_fg_fo,subjectesis_review,in the garbage bin,2,False,False,False
opentom,74356138::location_fg_so::0,location_fg_so,base_direct,in the garbage bin,2,False,False,False
opentom,74356138::location_fg_so::0,location_fg_so,answer_only_direct,in the garbage bin,2,False,False,False
opentom,74356138::location_fg_so::0,location_fg_so,subjectesis_direct,in the sunroom,3,True,False,True
opentom,74356138::location_fg_so::0,location_fg_so,subjectesis_no_review,no longer in the sunroom,3,True,False,True
opentom,74356138::location_fg_so::0,location_fg_so,subjectesis_review,no longer in the sunroom,3,True,False,True
opentom,74356138::location_fg_so::1,location_fg_so,base_direct,in the garbage bin,2,False,False,False
opentom,74356138::location_fg_so::1,location_fg_so,answer_only_direct,in the garbage bin,2,False,False,False
opentom,74356138::location_fg_so::1,location_fg_so,subjectesis_direct,in the garbage bin,2,False,False,False
opentom,74356138::location_fg_so::1,location_fg_so,subjectesis_no_review,in the garbage bin,2,False,False,False
opentom,74356138::location_fg_so::1,location_fg_so,subjectesis_review,in the garbage bin,2,False,False,False
opentom,74356138::multihop_fo::0,multihop_fo_fullness,base_direct,less full,1,False,False,False
opentom,74356138::multihop_fo::0,multihop_fo_fullness,answer_only_direct,less full,1,False,False,False
opentom,74356138::multihop_fo::0,multihop_fo_fullness,subjectesis_direct,less full,1,False,False,False
opentom,74356138::multihop_fo::0,multihop_fo_fullness,subjectesis_no_review,less full,1,False,False,False
opentom,74356138::multihop_fo::0,multihop_fo_fullness,subjectesis_review,less full,1,False,False,False
opentom,74356138::multihop_fo::1,multihop_fo_fullness,base_direct,less full,1,False,False,False
opentom,74356138::multihop_fo::1,multihop_fo_fullness,answer_only_direct,less full,1,False,False,False
opentom,74356138::multihop_fo::1,multihop_fo_fullness,subjectesis_direct,less full,1,False,False,False
opentom,74356138::multihop_fo::1,multihop_fo_fullness,subjectesis_no_review,less full,1,False,False,False
opentom,74356138::multihop_fo::1,multihop_fo_fullness,subjectesis_review,less full,1,False,False,False
opentom,74356138::multihop_fo::2,multihop_fo_fullness,base_direct,more full,2,False,False,False
opentom,74356138::multihop_fo::2,multihop_fo_fullness,answer_only_direct,more full,2,False,False,False
opentom,74356138::multihop_fo::2,multihop_fo_fullness,subjectesis_direct,less full,1,False,False,False
opentom,74356138::multihop_fo::2,multihop_fo_fullness,subjectesis_no_review,less full,1,False,False,False
opentom,74356138::multihop_fo::2,multihop_fo_fullness,subjectesis_review,less full,1,False,False,False
opentom,74356138::multihop_fo::3,multihop_fo_fullness,base_direct,less full,1,False,False,False
opentom,74356138::multihop_fo::3,multihop_fo_fullness,answer_only_direct,less full,1,False,False,False
opentom,74356138::multihop_fo::3,multihop_fo_fullness,subjectesis_direct,less full,1,False,False,False
opentom,74356138::multihop_fo::3,multihop_fo_fullness,subjectesis_no_review,less full,1,False,False,False
opentom,74356138::multihop_fo::3,multihop_fo_fullness,subjectesis_review,less full,1,False,False,False
opentom,74356138::multihop_fo::4,multihop_fo_accessibility,base_direct,less accessible,2,False,False,False
opentom,74356138::multihop_fo::4,multihop_fo_accessibility,answer_only_direct,less accessible,2,False,False,False
opentom,74356138::multihop_fo::4,multihop_fo_accessibility,subjectesis_direct,less accessible,2,False,False,False
opentom,74356138::multihop_fo::4,multihop_fo_accessibility,subjectesis_no_review,less accessible,2,False,False,False
opentom,74356138::multihop_fo::4,multihop_fo_accessibility,subjectesis_review,less accessible,2,False,False,False
opentom,74356138::multihop_fo::5,multihop_fo_accessibility,base_direct,less accessible,2,False,False,False
opentom,74356138::multihop_fo::5,multihop_fo_accessibility,answer_only_direct,less accessible,2,False,False,False
opentom,74356138::multihop_fo::5,multihop_fo_accessibility,subjectesis_direct,less accessible,2,False,False,False
opentom,74356138::multihop_fo::5,multihop_fo_accessibility,subjectesis_no_review,less accessible,2,False,False,False
opentom,74356138::multihop_fo::5,multihop_fo_accessibility,subjectesis_review,less accessible,2,False,False,False
opentom,74356138::multihop_so::0,multihop_so_fullness,base_direct,less full,1,False,False,False
opentom,74356138::multihop_so::0,multihop_so_fullness,answer_only_direct,less full,1,False,False,False
opentom,74356138::multihop_so::0,multihop_so_fullness,subjectesis_direct,less full,1,False,False,False
opentom,74356138::multihop_so::0,multihop_so_fullness,subjectesis_no_review,less full,1,False,False,False
opentom,74356138::multihop_so::0,multihop_so_fullness,subjectesis_review,less full,1,False,False,False
opentom,74356138::multihop_so::1,multihop_so_fullness,base_direct,less full,1,False,False,False
opentom,74356138::multihop_so::1,multihop_so_fullness,answer_only_direct,less full,1,False,False,False
opentom,74356138::multihop_so::1,multihop_so_fullness,subjectesis_direct,less full,1,False,False,False
opentom,74356138::multihop_so::1,multihop_so_fullness,subjectesis_no_review,less full,1,False,False,False
opentom,74356138::multihop_so::1,multihop_so_fullness,subjectesis_review,less full,1,False,False,False
opentom,74356138::multihop_so::2,multihop_so_fullness,base_direct,more full,2,False,False,False
opentom,74356138::multihop_so::2,multihop_so_fullness,answer_only_direct,less full,1,False,False,False
opentom,74356138::multihop_so::2,multihop_so_fullness,subjectesis_direct,less full,1,False,False,False
opentom,74356138::multihop_so::2,multihop_so_fullness,subjectesis_no_review,more full,2,False,False,False
opentom,74356138::multihop_so::2,multihop_so_fullness,subjectesis_review,less full,1,False,False,False
opentom,74356138::multihop_so::3,multihop_so_fullness,base_direct,more full,2,False,False,False
opentom,74356138::multihop_so::3,multihop_so_fullness,answer_only_direct,more full,2,False,False,False
opentom,74356138::multihop_so::3,multihop_so_fullness,subjectesis_direct,more full,2,False,False,False
opentom,74356138::multihop_so::3,multihop_so_fullness,subjectesis_no_review,more full,2,False,False,False
opentom,74356138::multihop_so::3,multihop_so_fullness,subjectesis_review,more full,2,False,False,False
opentom,74356138::multihop_so::4,multihop_so_accessibility,base_direct,less accessible,2,False,False,False
opentom,74356138::multihop_so::4,multihop_so_accessibility,answer_only_direct,less accessible,2,False,False,False
opentom,74356138::multihop_so::4,multihop_so_accessibility,subjectesis_direct,less accessible,2,False,False,False
opentom,74356138::multihop_so::4,multihop_so_accessibility,subjectesis_no_review,less accessible,2,False,False,False
opentom,74356138::multihop_so::4,multihop_so_accessibility,subjectesis_review,less accessible,2,False,False,False
opentom,74356138::multihop_so::5,multihop_so_accessibility,base_direct,less accessible,2,False,False,False
opentom,74356138::multihop_so::5,multihop_so_accessibility,answer_only_direct,less accessible,2,False,False,False
opentom,74356138::multihop_so::5,multihop_so_accessibility,subjectesis_direct,less accessible,2,False,False,False
opentom,74356138::multihop_so::5,multihop_so_accessibility,subjectesis_no_review,less accessible,2,False,False,False
opentom,74356138::multihop_so::5,multihop_so_accessibility,subjectesis_review,less accessible,2,False,False,False
opentom,74356138::attitude::0,attitude,base_direct,positive,1,False,False,False
opentom,74356138::attitude::0,attitude,answer_only_direct,positive,1,False,False,False
opentom,74356138::attitude::0,attitude,subjectesis_direct,positive,1,False,False,False
opentom,74356138::attitude::0,attitude,subjectesis_no_review,positive,1,False,False,False
opentom,74356138::attitude::0,attitude,subjectesis_review,positive,1,False,False,False
opentom,99473854::location_cg_fo::0,location_cg_fo,base_direct,No,0,False,False,False
opentom,99473854::location_cg_fo::0,location_cg_fo,answer_only_direct,No,0,False,False,False
opentom,99473854::location_cg_fo::0,location_cg_fo,subjectesis_direct,No,0,False,False,False
opentom,99473854::location_cg_fo::0,location_cg_fo,subjectesis_no_review,No,0,False,False,False
opentom,99473854::location_cg_fo::0,location_cg_fo,subjectesis_review,No,0,False,False,False
opentom,99473854::location_cg_fo::1,location_cg_fo,base_direct,No,0,False,False,False
opentom,99473854::location_cg_fo::1,location_cg_fo,answer_only_direct,No,0,False,False,False
opentom,99473854::location_cg_fo::1,location_cg_fo,subjectesis_direct,No,0,False,False,False
opentom,99473854::location_cg_fo::1,location_cg_fo,subjectesis_no_review,No,0,False,False,False
opentom,99473854::location_cg_fo::1,location_cg_fo,subjectesis_review,No,0,False,False,False
opentom,99473854::location_cg_so::0,location_cg_so,base_direct,Yes,1,False,False,False
opentom,99473854::location_cg_so::0,location_cg_so,answer_only_direct,Yes,1,False,False,False
opentom,99473854::location_cg_so::0,location_cg_so,subjectesis_direct,Yes,1,False,False,False
opentom,99473854::location_cg_so::0,location_cg_so,subjectesis_no_review,Yes,1,False,False,False
opentom,99473854::location_cg_so::0,location_cg_so,subjectesis_review,Yes,1,False,False,False
opentom,99473854::location_cg_so::1,location_cg_so,base_direct,No,0,False,False,False
opentom,99473854::location_cg_so::1,location_cg_so,answer_only_direct,No,0,False,False,False
opentom,99473854::location_cg_so::1,location_cg_so,subjectesis_direct,No,0,False,False,False
opentom,99473854::location_cg_so::1,location_cg_so,subjectesis_no_review,No,0,False,False,False
opentom,99473854::location_cg_so::1,location_cg_so,subjectesis_review,No,0,False,False,False
opentom,99473854::location_fg_fo::0,location_fg_fo,base_direct,home entrance,2,False,False,False
opentom,99473854::location_fg_fo::0,location_fg_fo,answer_only_direct,home entrance,2,False,False,False
opentom,99473854::location_fg_fo::0,location_fg_fo,subjectesis_direct,home entrance,2,False,False,False
opentom,99473854::location_fg_fo::0,location_fg_fo,subjectesis_no_review,home entrance,2,False,False,False
opentom,99473854::location_fg_fo::0,location_fg_fo,subjectesis_review,home entrance,2,False,False,False
opentom,99473854::location_fg_fo::1,location_fg_fo,base_direct,on the top shelf,3,True,False,True
opentom,99473854::location_fg_fo::1,location_fg_fo,answer_only_direct,on the top shelf,3,True,False,True
opentom,99473854::location_fg_fo::1,location_fg_fo,subjectesis_direct,on the top shelf,3,True,False,True
opentom,99473854::location_fg_fo::1,location_fg_fo,subjectesis_no_review,in the closet,3,True,False,True
opentom,99473854::location_fg_fo::1,location_fg_fo,subjectesis_review,in the closet,3,True,False,True
opentom,99473854::location_fg_fo::2,location_fg_fo,base_direct,home entrance,2,False,False,False
opentom,99473854::location_fg_fo::2,location_fg_fo,answer_only_direct,home entrance,2,False,False,False
opentom,99473854::location_fg_fo::2,location_fg_fo,subjectesis_direct,home entrance,2,False,False,False
opentom,99473854::location_fg_fo::2,location_fg_fo,subjectesis_no_review,at the home entrance,2,False,False,False
opentom,99473854::location_fg_fo::2,location_fg_fo,subjectesis_review,at the home entrance,2,False,False,False
opentom,99473854::location_fg_fo::3,location_fg_fo,base_direct,home entrance,2,False,False,False
opentom,99473854::location_fg_fo::3,location_fg_fo,answer_only_direct,home entrance,2,False,False,False
opentom,99473854::location_fg_fo::3,location_fg_fo,subjectesis_direct,home entrance,2,False,False,False
opentom,99473854::location_fg_fo::3,location_fg_fo,subjectesis_no_review,the home entrance,2,False,False,False
opentom,99473854::location_fg_fo::3,location_fg_fo,subjectesis_review,the home entrance,2,False,False,False
opentom,99473854::location_fg_so::0,location_fg_so,base_direct,top shelf,3,True,False,True
opentom,99473854::location_fg_so::0,location_fg_so,answer_only_direct,top shelf,3,True,False,True
opentom,99473854::location_fg_so::0,location_fg_so,subjectesis_direct,in the closet,3,True,False,True
opentom,99473854::location_fg_so::0,location_fg_so,subjectesis_no_review,the home entrance,2,False,False,False
opentom,99473854::location_fg_so::0,location_fg_so,subjectesis_review,in the closet,3,True,False,True
opentom,99473854::location_fg_so::1,location_fg_so,base_direct,home entrance,2,False,False,False
opentom,99473854::location_fg_so::1,location_fg_so,answer_only_direct,home entrance,2,False,False,False
opentom,99473854::location_fg_so::1,location_fg_so,subjectesis_direct,home entrance,2,False,False,False
opentom,99473854::location_fg_so::1,location_fg_so,subjectesis_no_review,the home entrance,2,False,False,False
opentom,99473854::location_fg_so::1,location_fg_so,subjectesis_review,the home entrance,2,False,False,False
opentom,99473854::multihop_fo::0,multihop_fo_fullness,base_direct,less full,1,False,False,False
opentom,99473854::multihop_fo::0,multihop_fo_fullness,answer_only_direct,less full,1,False,False,False
opentom,99473854::multihop_fo::0,multihop_fo_fullness,subjectesis_direct,less full,1,False,False,False
opentom,99473854::multihop_fo::0,multihop_fo_fullness,subjectesis_no_review,less full,1,False,False,False
opentom,99473854::multihop_fo::0,multihop_fo_fullness,subjectesis_review,less full,1,False,False,False
opentom,99473854::multihop_fo::1,multihop_fo_fullness,base_direct,less full,1,False,False,False
opentom,99473854::multihop_fo::1,multihop_fo_fullness,answer_only_direct,less full,1,False,False,False
opentom,99473854::multihop_fo::1,multihop_fo_fullness,subjectesis_direct,less full,1,False,False,False
opentom,99473854::multihop_fo::1,multihop_fo_fullness,subjectesis_no_review,equally full,3,False,False,False
opentom,99473854::multihop_fo::1,multihop_fo_fullness,subjectesis_review,equally full,3,False,False,False
opentom,99473854::multihop_fo::2,multihop_fo_fullness,base_direct,more full,2,False,False,False
opentom,99473854::multihop_fo::2,multihop_fo_fullness,answer_only_direct,more full,2,False,False,False
opentom,99473854::multihop_fo::2,multihop_fo_fullness,subjectesis_direct,more full,2,False,False,False
opentom,99473854::multihop_fo::2,multihop_fo_fullness,subjectesis_no_review,more full,2,False,False,False
opentom,99473854::multihop_fo::2,multihop_fo_fullness,subjectesis_review,more full,2,False,False,False
opentom,99473854::multihop_fo::3,multihop_fo_fullness,base_direct,more full,2,False,False,False
opentom,99473854::multihop_fo::3,multihop_fo_fullness,answer_only_direct,more full,2,False,False,False
opentom,99473854::multihop_fo::3,multihop_fo_fullness,subjectesis_direct,more full,2,False,False,False
opentom,99473854::multihop_fo::3,multihop_fo_fullness,subjectesis_no_review,more full,2,False,False,False
opentom,99473854::multihop_fo::3,multihop_fo_fullness,subjectesis_review,more full,2,False,False,False
opentom,99473854::multihop_fo::4,multihop_fo_accessibility,base_direct,more accessible,1,False,False,False
opentom,99473854::multihop_fo::4,multihop_fo_accessibility,answer_only_direct,more accessible,1,False,False,False
opentom,99473854::multihop_fo::4,multihop_fo_accessibility,subjectesis_direct,more accessible,1,False,False,False
opentom,99473854::multihop_fo::4,multihop_fo_accessibility,subjectesis_no_review,more accessible,1,False,False,False
opentom,99473854::multihop_fo::4,multihop_fo_accessibility,subjectesis_review,more accessible,1,False,False,False
opentom,99473854::multihop_fo::5,multihop_fo_accessibility,base_direct,more accessible,1,False,False,False
opentom,99473854::multihop_fo::5,multihop_fo_accessibility,answer_only_direct,more accessible,1,False,False,False
opentom,99473854::multihop_fo::5,multihop_fo_accessibility,subjectesis_direct,more accessible,1,False,False,False
opentom,99473854::multihop_fo::5,multihop_fo_accessibility,subjectesis_no_review,more accessible,1,False,False,False
opentom,99473854::multihop_fo::5,multihop_fo_accessibility,subjectesis_review,more accessible,1,False,False,False
